timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: defaul,线程组 1-1,text,false,Expected to find an object with property ['code'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,772,0,1,1,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: defaul,线程组 1-1,text,false,Expected to find an object with property ['code'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,772,0,1,1,null,0,0,0
